par,yardage,yardage_4_5,yardage_3,adj_score_to_par,adj_par_3_score,adj_par_4_score,adj_par_5_score,adj_driving_distance,adj_sd_distance,adj_driving_accuracy,putt_sg,arg_sg,app_sg,ott_sg,fw_width,fw_diff,rgh_diff,non_rgh_diff,miss_fw_pen_frac,adj_gir,less_150_sg,greater_150_sg,adj_penalties,adj_ob,arg_fairway_sg,arg_rough_sg,arg_bunker_sg,less_5_ft_sg,greater_5_less_15_sg,greater_15_sg,course,country
72.0,7469.0,477.0,198.0,1.89,0.19,0.18,-0.17,285.0,19.0,0.5198,0.009,-0.009,-0.054,-0.046,35.9,0.36,0.29,0.32,0.0578,0.5948,-0.041,-0.06,0.92,0.15,0.018,-0.029,-0.006,0.007,0.015,0.006,Trump National Doral,USA
71.0,7428.0,470.0,210.0,-0.23,0.11,0.03,-0.33,293.1,17.3,0.6167,-0.005,-0.01,0.046,0.038,32.1,0.32,0.26,0.28,0.0186,0.6497,0.004,0.063,0.37,0.03,0.005,-0.058,0.036,-0.001,-0.016,-0.002,Caves Valley Golf Club,USA
71.0,7424.0,475.0,194.0,0.17,0.1,0.03,-0.19,303.3,21.4,0.4477,0.007,0.002,-0.002,0.019,27.8,0.27,0.29,0.32,0.0,0.6523,-0.015,0.009,0.2,0.03,-0.009,-0.024,0.05,-0.001,0.03,0.001,Wilmington Country Club,USA
71.0,7418.0,474.0,194.0,0.96,0.15,0.13,-0.31,297.0,20.0,0.538,-0.009,0.004,-0.022,0.024,31.3,0.33,0.21,0.34,0.0419,0.5924,-0.036,-0.017,0.51,0.04,-0.006,0.016,0.011,0.001,-0.017,-0.022,Quail Hollow Club,USA
70.0,7418.0,471.0,213.0,2.65,0.24,0.17,-0.15,299.5,21.0,0.6198,-0.009,-0.034,-0.036,0.032,44.2,0.28,0.25,0.23,0.0388,0.5363,-0.052,-0.027,0.41,0.01,-0.041,-0.04,-0.029,-0.005,-0.027,0.0,Southern Hills Country Club,USA
71.0,7416.0,474.0,195.0,0.03,0.0,0.05,-0.19,288.1,17.1,0.5787,-0.008,0.026,0.041,0.015,26.7,0.31,0.26,0.5,0.0173,0.6881,0.053,0.036,0.39,0.02,0.03,0.029,0.017,0.001,-0.027,-0.008,Congressional CC (Blue),USA
71.0,7397.0,471.0,201.0,0.31,0.06,0.1,-0.33,282.3,14.9,0.6607,0.002,-0.007,0.02,-0.009,39.2,0.37,0.32,0.34,0.0409,0.6197,0.003,0.026,0.39,0.02,-0.007,-0.022,0.009,-0.002,-0.002,0.013,Valhalla Golf Club,USA
70.0,7392.0,464.0,223.0,4.34,0.25,0.28,0.01,293.5,19.5,0.5439,-0.037,-0.115,-0.003,-0.041,28.0,0.6,0.56,0.67,0.0321,0.5734,-0.069,0.025,0.2,0.01,-0.036,-0.221,-0.088,-0.016,-0.078,-0.039,Oakmont Country Club,USA
70.0,7392.0,470.0,204.0,4.45,0.29,0.29,-0.11,288.6,23.0,0.4631,-0.029,-0.072,-0.016,-0.069,31.9,0.3,0.35,0.41,0.0032,0.5063,-0.008,-0.018,0.05,0.0,-0.049,-0.115,-0.022,-0.015,-0.024,-0.058,Winged Foot GC,USA
73.0,7371.0,453.0,190.0,-2.45,0.05,-0.05,-0.52,294.8,20.5,0.7021,-0.004,0.01,0.021,0.087,48.8,0.37,0.15,0.43,0.0641,0.767,0.001,0.034,0.39,0.08,0.003,0.025,0.01,0.001,-0.005,-0.012,Plantation Course at Kapalua,USA
72.0,7366.0,472.0,189.0,1.24,0.19,0.14,-0.22,286.2,16.9,0.6348,0.001,-0.055,-0.049,-0.018,33.7,0.47,0.44,0.39,0.0561,0.5758,-0.039,-0.054,0.7,0.07,-0.025,-0.09,-0.051,0.001,-0.001,0.0,Muirfield Village Golf Club,USA
71.0,7364.0,473.0,188.0,0.08,0.1,0.05,-0.29,301.2,20.9,0.7075,-0.005,-0.041,-0.009,0.066,51.4,0.35,0.3,0.42,0.0346,0.6449,-0.025,-0.001,0.28,0.02,-0.047,-0.03,-0.053,0.0,-0.001,-0.02,Congaree Golf Club,USA
72.0,7361.0,472.0,190.0,-0.09,0.1,0.07,-0.28,296.2,18.1,0.5289,0.006,-0.077,0.007,0.006,30.8,0.51,0.44,0.52,0.0411,0.63,0.002,0.01,0.52,0.14,-0.051,-0.091,-0.098,0.011,0.016,-0.015,Shadow Creek Golf Course,USA
72.0,7359.0,474.0,181.0,-3.05,-0.03,-0.09,-0.52,298.4,19.8,0.6491,0.0,0.048,0.085,0.056,37.0,0.34,0.16,0.41,0.0543,0.7235,0.09,0.082,0.44,0.03,0.054,0.084,-0.009,0.0,-0.003,0.004,The Summit Club,USA
71.0,7355.0,469.0,196.0,2.11,0.16,0.18,-0.23,287.7,17.2,0.5699,-0.01,-0.001,-0.027,-0.008,30.6,0.44,0.35,0.53,0.0059,0.5818,-0.023,-0.028,0.08,0.03,-0.009,0.002,-0.005,-0.003,-0.023,-0.012,Bethpage Black,USA
72.0,7349.0,465.0,208.0,1.1,0.17,0.15,-0.28,281.7,18.4,0.603,-0.001,-0.005,-0.048,-0.036,34.1,0.41,0.36,0.3,0.0572,0.5727,-0.046,-0.048,0.67,0.15,0.004,-0.064,0.014,0.001,0.002,-0.006,Arnold Palmer's Bay Hill Club & Lodge,USA
70.0,7339.0,469.0,196.0,2.86,0.16,0.19,-0.03,288.5,20.6,0.4525,-0.005,-0.042,-0.015,-0.072,28.0,0.37,0.33,0.57,0.0358,0.5652,-0.001,-0.022,0.34,0.02,0.007,-0.082,-0.053,-0.004,-0.018,0.003,Oak Hill Country Club,USA
70.0,7337.0,467.0,200.0,1.48,0.09,0.12,-0.18,298.8,22.1,0.4636,0.002,-0.005,-0.014,0.012,23.5,0.37,0.35,0.43,0.0013,0.5544,-0.041,0.005,0.15,0.03,-0.007,-0.002,-0.005,0.002,0.005,-0.001,Firestone CC (South),USA
