par,yardage,yardage_4_5,yardage_3,adj_score_to_par,adj_par_3_score,adj_par_4_score,adj_par_5_score,adj_driving_distance,adj_sd_distance,adj_driving_accuracy,putt_sg,arg_sg,app_sg,ott_sg,fw_width,fw_diff,rgh_diff,non_rgh_diff,miss_fw_pen_frac,adj_gir,less_150_sg,greater_150_sg,adj_penalties,adj_ob,arg_fairway_sg,arg_rough_sg,arg_bunker_sg,less_5_ft_sg,greater_5_less_15_sg,greater_15_sg,course,country
71.0,7082.0,452.0,186.0,-1.26,0.11,-0.01,-0.55,282.7,16.2,0.6109,0.012,0.045,-0.003,-0.025,30.6,0.32,0.2,0.38,0.0451,0.7009,0.025,-0.018,0.6,0.04,0.049,0.071,0.025,0.004,0.025,0.016,PGA National Resort (The Champion - Par 71),USA
71.0,7082.0,469.0,198.0,0.7,0.12,0.12,-0.23,277.3,17.2,0.5655,-0.003,0.02,-0.025,-0.067,27.7,0.35,0.24,0.52,0.0223,0.5699,-0.03,-0.023,0.19,0.02,0.032,0.017,0.006,0.0,-0.011,-0.004,Innisbrook Resort (Copperhead Course),USA
71.0,7073.0,450.0,191.0,-1.49,0.05,-0.03,-0.46,299.9,20.0,0.6094,0.005,-0.048,0.013,0.053,34.5,0.38,0.32,0.47,0.0215,0.7238,0.004,0.019,0.38,0.04,-0.056,-0.037,-0.037,0.002,0.01,0.005,TPC Summerlin,USA
70.0,7069.0,451.0,190.0,0.93,0.07,0.08,-0.13,280.7,18.1,0.5972,0.003,-0.014,0.0,-0.038,31.4,0.47,0.31,0.57,0.0676,0.614,0.01,-0.003,0.52,0.06,0.024,-0.029,-0.061,0.003,0.005,0.004,TPC Potomac at Avenel Farm,USA
70.0,7050.0,453.0,178.0,-0.32,-0.01,0.04,-0.37,280.5,17.2,0.6313,0.005,0.054,0.005,-0.005,34.1,0.31,0.24,0.4,0.0408,0.6167,0.011,0.002,0.22,0.0,0.019,0.056,0.087,-0.002,0.013,0.01,Royal Montreal GC (Blue),Canada
70.0,7036.0,446.0,199.0,-1.14,0.04,-0.03,-0.46,286.3,16.5,0.6825,0.01,-0.014,0.042,0.035,39.7,0.32,0.26,0.33,0.0044,0.7424,0.017,0.063,0.11,0.02,-0.029,-0.027,0.027,0.004,0.026,0.008,Aronimink GC,USA
70.0,7032.0,476.0,169.0,-1.28,-0.12,0.04,-0.35,287.0,18.1,0.5476,0.013,0.001,0.055,-0.014,30.0,0.36,0.33,0.43,0.0306,0.6979,0.038,0.066,0.26,0.03,-0.037,0.016,0.018,-0.008,0.051,0.011,ACCORDIA GOLF Narashino Country Club,Japan
72.0,7032.0,453.0,172.0,-1.27,-0.04,0.03,-0.36,283.1,15.7,0.5615,-0.015,0.078,-0.027,-0.019,23.9,0.33,0.2,0.45,0.0149,0.6578,0.0,-0.047,0.2,0.05,0.051,0.108,0.014,-0.006,-0.022,-0.024,Spyglass Hill Golf Course,USA
70.0,7023.0,449.0,185.0,-1.23,0.04,-0.01,-0.65,291.5,21.1,0.5654,0.003,0.037,0.032,0.013,35.0,0.31,0.28,0.26,0.036,0.6956,0.042,0.027,0.24,0.05,0.034,0.025,0.045,0.0,0.005,0.006,Waialae Country Club,USA
70.0,7022.0,445.0,200.0,0.24,0.14,0.04,-0.4,299.8,24.0,0.5591,0.006,-0.023,-0.039,0.041,36.5,0.47,0.43,0.44,0.0329,0.626,-0.037,-0.04,0.35,0.07,0.036,-0.062,-0.057,0.003,0.004,0.013,Hurstbourne Country Club,USA
70.0,7020.0,448.0,187.0,1.41,0.19,0.11,-0.35,277.1,16.3,0.6025,0.004,0.019,-0.054,-0.041,29.5,0.34,0.24,0.37,0.0451,0.5985,-0.021,-0.07,0.73,0.06,-0.001,0.064,0.016,-0.001,0.006,0.01,PGA National Resort (The Champion),USA
70.0,7014.0,446.0,193.0,0.62,0.08,0.06,-0.23,282.3,19.5,0.5512,0.004,0.029,-0.017,-0.044,28.0,0.36,0.35,0.34,0.0171,0.612,-0.031,-0.007,0.3,0.02,0.005,0.037,0.045,0.002,0.004,0.006,Colonial Country Club,USA
70.0,7006.0,464.0,196.0,0.3,0.04,0.11,-0.34,293.2,18.9,0.6188,-0.007,-0.019,-0.011,0.019,31.3,0.45,0.43,0.64,0.0162,0.6171,-0.017,-0.009,0.08,0.03,0.012,-0.033,-0.074,-0.004,-0.024,0.004,St. George's G&CC,Canada
71.0,7003.0,450.0,176.0,1.61,0.11,0.15,-0.16,270.2,17.9,0.6493,-0.001,-0.048,-0.047,-0.048,34.9,0.42,0.34,0.49,0.0395,0.5595,-0.04,-0.052,0.36,0.09,-0.006,-0.073,-0.046,0.004,0.001,-0.014,Pebble Beach Golf Links (U.S. Open),USA
71.0,6987.0,445.0,191.0,-0.81,0.11,-0.02,-0.34,281.0,19.9,0.5999,0.005,0.005,0.011,0.012,30.4,0.31,0.26,0.38,0.0321,0.6321,0.013,0.01,0.38,0.07,0.013,0.013,-0.047,0.004,0.008,0.005,Conway Farms GC,USA
72.0,6986.0,464.0,192.0,-2.11,0.05,-0.04,-0.4,276.3,17.5,0.7204,0.017,0.021,0.007,-0.034,35.9,0.57,0.47,0.7,0.0632,0.6761,0.029,0.0,0.48,0.11,0.034,0.008,0.008,0.008,0.041,0.012,Sherwood Country Club,USA
71.0,6980.0,446.0,184.0,-0.21,0.12,0.03,-0.35,276.2,19.3,0.617,0.0,0.043,-0.026,-0.052,32.5,0.26,0.14,0.35,0.0336,0.601,0.007,-0.043,0.47,0.09,0.037,0.078,0.011,0.001,-0.007,0.004,Harbour Town Golf Links,USA
70.0,6978.0,446.0,183.0,-0.01,0.02,0.06,-0.4,284.9,17.9,0.5711,0.0,-0.006,0.016,-0.014,30.2,0.36,0.27,0.36,0.0608,0.6267,0.001,0.025,0.41,0.07,-0.026,0.026,0.035,-0.005,-0.001,0.011,TPC Four Seasons Resort,USA
70.0,6958.0,442.0,192.0,-1.15,-0.02,0.0,-0.56,286.1,18.4,0.6201,-0.009,-0.037,0.069,0.021,29.5,0.42,0.33,0.67,0.0476,0.7347,0.057,0.076,0.28,0.13,-0.036,-0.071,0.026,0.002,-0.016,-0.021,Sedgefield Country Club,USA
70.0,6925.0,437.0,204.0,-0.3,0.1,0.02,-0.46,289.7,17.8,0.5562,-0.01,0.002,0.009,0.006,33.2,0.4,0.33,0.55,0.0193,0.667,0.006,0.011,0.09,0.01,-0.003,-0.029,0.039,-0.005,-0.021,-0.011,Hamilton Golf & Country Club,Canada
71.0,6899.0,449.0,179.0,-2.09,0.0,-0.07,-0.52,300.8,21.4,0.5859,0.005,0.016,0.012,0.035,33.3,0.29,0.16,0.37,0.0518,0.7087,0.0,0.021,0.59,0.06,0.013,0.024,0.011,0.002,0.018,-0.001,Austin Country Club,USA
72.0,6888.0,443.0,170.0,-0.66,0.06,0.03,-0.29,272.7,17.9,0.6882,-0.015,0.029,-0.041,-0.027,40.5,0.32,0.16,0.41,0.0487,0.6558,-0.032,-0.048,0.35,0.09,0.04,0.051,-0.022,-0.011,-0.036,-0.004,Pebble Beach Golf Links,USA
70.0,6880.0,436.0,195.0,-1.11,0.0,-0.02,-0.42,280.7,15.8,0.705,0.005,0.026,0.023,-0.005,42.3,0.39,0.17,0.39,0.1035,0.7416,0.011,0.03,0.45,0.06,0.016,0.048,0.054,0.003,0.011,0.003,Sea Island Golf Club (Seaside Course),USA
72.0,6844.0,460.0,173.0,-1.98,0.03,0.05,-0.51,277.8,15.0,0.6311,-0.001,0.045,-0.021,-0.012,34.9,0.28,0.14,0.4,0.0827,0.6639,0.006,-0.035,0.75,0.13,0.025,0.081,-0.016,0.0,-0.004,0.002,PGA West (Palmer),USA
70.0,6829.0,438.0,175.0,1.05,0.07,0.1,-0.21,282.2,21.7,0.5511,-0.013,-0.036,-0.014,-0.015,32.9,0.4,0.34,0.54,0.0114,0.6434,-0.022,-0.007,0.3,0.08,-0.018,-0.056,-0.05,-0.001,-0.03,-0.017,Plainfield CC,USA
70.0,6800.0,432.0,188.0,-0.53,0.02,0.0,-0.29,284.5,19.0,0.6454,0.002,-0.057,0.014,-0.005,37.0,0.43,0.31,0.36,0.0743,0.6899,0.003,0.022,0.48,0.08,-0.065,-0.055,-0.033,0.002,0.001,0.003,TPC River Highlands,USA
